196['519', '357', '318', '408', '64', '98', '515', '135', '198', '169']
437['427', '199', '313', '315', '169', '408', '694', '357', '302', '272']
438['98', '603', '127', '357', '189', '56', '512', '168', '318', '169']
431['64', '251', '487', '318', '513', '189', '515', '12', '511', '408']
442['408', '114', '169', '50', '316', '315', '183', '246', '357', '127']
440['474', '498', '172', '483', '408', '127', '318', '89', '191', '134']
445['169', '357', '98', '223', '180', '191', '482', '315', '318', '285']
447['603', '318', '127', '172', '64', '169', '427', '114', '479', '480']
449['357', '318', '483', '657', '408', '484', '156', '178', '135', '603']
450['408', '515', '963', '251', '513', '746', '1007', '19', '863', '1194']
446['169', '603', '408', '318', '513', '923', '483', '480', '272', '191']
439['318', '483', '127', '98', '603', '50', '515', '427', '357', '659']
451['657', '150', '169', '530', '434', '172', '199', '763', '694', '50']
452['657', '12', '313', '169', '190', '272', '963', '511', '487', '189']
454['963', '265', '282', '126', '966', '408', '216', '190', '125', '187']
453['169', '89', '114', '483', '127', '513', '408', '180', '64', '251']
414['408', '169', '114', '474', '515', '357', '64', '603', '480', '178']
455['483', '408', '178', '208', '136', '493', '169', '963', '651', '187']
444['480', '134', '64', '169', '318', '603', '427', '48', '479', '127']
448['318', '190', '127', '483', '48', '223', '64', '98', '603', '199']
457['408', '313', '178', '511', '513', '750', '515', '923', '198', '136']
456['134', '408', '199', '114', '169', '657', '89', '272', '285', '316']
458['114', '656', '175', '1007', '60', '185', '657', '659', '1005', '641']
462['496', '750', '318', '64', '12', '98', '515', '178', '408', '191']
459['318', '12', '170', '64', '169', '427', '483', '114', '963', '496']
460['357', '483', '135', '480', '427', '134', '603', '114', '513', '191']
461['408', '603', '318', '114', '169', '493', '427', '178', '199', '659']
467['185', '134', '603', '657', '480', '199', '285', '483', '479', '474']
468['480', '169', '134', '408', '657', '302', '272', '199', '511', '276']
466['408', '169', '64', '272', '318', '9', '114', '197', '496', '488']
472['98', '480', '498', '479', '272', '483', '408', '89', '813', '198']
465['515', '178', '83', '251', '195', '1007', '187', '272', '480', '487']
463['318', '187', '173', '197', '408', '56', '603', '192', '174', '1137']
471['408', '513', '98', '921', '923', '189', '945', '603', '170', '528']
474['408', '272', '169', '202', '153', '1007', '114', '144', '165', '223']
469['515', '480', '408', '169', '963', '318', '272', '357', '316', '178']
464['408', '169', '114', '657', '318', '64', '285', '427', '483', '251']
476['318', '169', '480', '272', '251', '96', '98', '178', '174', '408']
478['603', '136', '515', '114', '511', '479', '657', '1193', '285', '483']
473['64', '318', '169', '114', '483', '357', '408', '479', '178', '12']
470['313', '408', '12', '169', '603', '191', '272', '515', '1019', '483']
480['178', '515', '318', '963', '657', '513', '480', '134', '641', '408']
441['50', '318', '178', '511', '12', '174', '651', '172', '483', '64']
479['114', '98', '56', '64', '603', '12', '285', '435', '519', '515']
484['64', '603', '187', '215', '484', '483', '513', '408', '479', '12']
486['185', '98', '603', '480', '12', '89', '498', '483', '172', '56']
487['603', '408', '302', '114', '513', '166', '169', '187', '1142', '190']
482['318', '169', '603', '64', '190', '408', '170', '12', '191', '480']
481['483', '64', '169', '513', '408', '515', '487', '511', '127', '480']
492['169', '12', '513', '515', '114', '408', '519', '316', '357', '180']
493['169', '963', '64', '408', '511', '215', '237', '194', '282', '651']
490['357', '483', '172', '408', '173', '199', '511', '474', '603', '223']
489['144', '98', '515', '199', '169', '22', '357', '318', '69', '174']
483['633', '408', '430', '483', '513', '285', '512', '320', '963', '89']
496['408', '513', '114', '515', '475', '45', '192', '179', '12', '302']
494['408', '172', '318', '12', '520', '19', '22', '114', '178', '480']
495['483', '408', '223', '114', '302', '488', '923', '516', '652', '1137']
477['302', '474', '265', '95', '194', '603', '1137', '515', '512', '165']
497['64', '272', '511', '302', '316', '313', '357', '315', '318', '483']
488['12', '169', '194', '213', '408', '963', '282', '435', '531', '189']
498['513', '653', '641', '114', '178', '169', '589', '408', '654', '488']
499['169', '408', '480', '963', '170', '196', '178', '64', '515', '923']
491['169', '98', '64', '56', '79', '187', '178', '483', '174', '96']
500['169', '430', '474', '494', '114', '198', '528', '189', '48', '315']
502['169', '408', '498', '657', '64', '483', '318', '114', '170', '50']
503['408', '483', '511', '169', '513', '641', '302', '528', '170', '1449']
504['169', '189', '22', '513', '589', '480', '483', '316', '408', '64']
505['169', '515', '483', '272', '318', '83', '143', '657', '189', '963']
506['127', '133', '511', '318', '22', '64', '483', '651', '1449', '427']
443['64', '50', '174', '98', '318', '963', '170', '22', '408', '427']
507['51', '474', '265', '86', '486', '144', '1', '246', '98', '194']
514['963', '478', '143', '923', '603', '427', '479', '498', '485', '514']
508['475', '169', '9', '408', '100', '276', '483', '60', '606', '479']
511['603', '479', '483', '178', '318', '191', '114', '173', '515', '64']
515['169', '408', '483', '189', '606', '318', '64', '603', '663', '251']
512['64', '357', '251', '603', '483', '178', '98', '127', '187', '89']
513['603', '174', '96', '172', '408', '318', '64', '169', '173', '963']
475['657', '172', '89', '483', '114', '48', '185', '64', '251', '480']
523['603', '427', '480', '174', '172', '483', '178', '318', '64', '357']
518['963', '313', '64', '22', '408', '174', '318', '169', '87', '173']
509['172', '98', '64', '180', '12', '56', '127', '357', '661', '223']
516['272', '408', '318', '223', '483', '496', '963', '479', '174', '480']
510['603', '357', '318', '515', '185', '12', '64', '98', '483', '89']
524['272', '258', '963', '408', '428', '811', '316', '48', '512', '923']
501['50', '12', '169', '89', '357', '156', '603', '56', '474', '172']
525['318', '357', '69', '191', '520', '50', '423', '963', '427', '313']
521['408', '178', '64', '169', '199', '603', '483', '190', '318', '513']
520['318', '408', '190', '64', '178', '357', '515', '272', '313', '169']
519['242', '451', '86', '98', '603', '515', '427', '165', '480', '209']
528['169', '89', '195', '172', '408', '963', '478', '320', '483', '1449']
532['144', '174', '64', '169', '190', '657', '194', '651', '178', '69']
530['169', '313', '408', '515', '114', '136', '511', '318', '480', '479']
531['511', '408', '12', '190', '169', '100', '64', '318', '178', '192']
529['64', '87', '12', '603', '169', '98', '318', '408', '114', '79']
517['12', '169', '56', '173', '302', '64', '474', '174', '178', '190']
527['195', '114', '136', '408', '481', '516', '320', '483', '493', '923']
485['408', '127', '357', '187', '603', '178', '483', '98', '114', '657']
533['79', '963', '604', '429', '165', '588', '694', '170', '524', '95']
535['408', '169', '320', '191', '656', '531', '694', '611', '316', '659']
536['64', '478', '12', '178', '963', '357', '173', '251', '651', '166']
526['483', '654', '12', '169', '9', '657', '427', '178', '114', '480']
537['9', '408', '169', '223', '432', '589', '114', '165', '251', '156']
534['98', '603', '181', '427', '165', '480', '275', '498', '496', '132']
541['488', '178', '603', '480', '313', '169', '611', '1073', '408', '484']
538['427', '64', '357', '511', '205', '480', '272', '603', '170', '178']
542['408', '603', '511', '169', '657', '659', '205', '199', '483', '98']
545['483', '64', '170', '12', '408', '114', '318', '251', '963', '169']
539['408', '169', '64', '178', '663', '657', '513', '694', '87', '318']
547['169', '223', '114', '408', '190', '603', '272', '318', '493', '185']
543['483', '251', '127', '657', '408', '320', '923', '189', '1019', '285']
548['174', '173', '195', '96', '114', '228', '172', '64', '190', '318']
546['480', '174', '483', '127', '89', '134', '169', '251', '114', '172']
522['98', '357', '190', '513', '57', '223', '483', '199', '114', '178']
551['408', '169', '659', '589', '513', '1194', '945', '657', '59', '134']
544['127', '408', '64', '357', '511', '318', '190', '98', '50', '178']
553['114', '156', '127', '64', '318', '12', '357', '223', '251', '169']
552['12', '64', '178', '172', '251', '483', '313', '963', '480', '528']
540['169', '408', '513', '357', '318', '963', '178', '191', '511', '603']
554['408', '963', '313', '64', '496', '169', '651', '178', '483', '285']
550['12', '64', '190', '318', '176', '174', '89', '251', '87', '169']
556['169', '357', '272', '56', '316', '408', '251', '483', '174', '124']
559['408', '641', '134', '169', '190', '143', '488', '251', '57', '498']
560['408', '169', '474', '64', '285', '511', '316', '251', '187', '172']
561['134', '127', '654', '169', '408', '114', '647', '165', '192', '493']
563['318', '64', '12', '963', '169', '511', '408', '98', '613', '199']
566['474', '408', '169', '603', '513', '285', '197', '185', '515', '589']
557['408', '64', '318', '178', '169', '603', '203', '513', '659', '484']
558['603', '174', '515', '318', '56', '169', '98', '127', '192', '513']
564['318', '12', '408', '251', '174', '478', '190', '22', '64', '657']
565['98', '427', '480', '174', '648', '272', '408', '178', '318', '520']
573['169', '408', '12', '483', '64', '114', '512', '56', '923', '316']
549['64', '408', '98', '318', '963', '603', '272', '357', '12', '483']
567['169', '408', '114', '656', '512', '285', '529', '488', '709', '1142']
569['318', '127', '408', '357', '483', '427', '136', '313', '515', '511']
562['434', '199', '64', '211', '169', '498', '178', '520', '192', '313']
576['64', '318', '114', '313', '603', '174', '659', '490', '963', '408']
577['169', '408', '511', '178', '963', '652', '483', '519', '604', '1019']
579['483', '480', '174', '318', '64', '170', '191', '313', '272', '172']
574['318', '96', '603', '178', '64', '408', '513', '190', '923', '357']
555['483', '963', '657', '64', '408', '603', '114', '79', '430', '189']
572['169', '127', '408', '483', '318', '963', '513', '520', '173', '923']
575['114', '169', '64', '190', '12', '515', '192', '661', '513', '178']
584['318', '174', '178', '12', '357', '22', '408', '127', '483', '251']
588['478', '199', '657', '408', '705', '170', '190', '963', '169', '487']
587['169', '408', '318', '189', '64', '9', '659', '513', '474', '178']
568['223', '302', '318', '114', '251', '12', '57', '1449', '480', '408']
586['169', '272', '45', '513', '512', '316', '408', '487', '963', '251']
585['603', '272', '169', '479', '114', '318', '480', '427', '483', '98']
582['515', '480', '357', '427', '483', '98', '603', '178', '185', '318']
591['408', '169', '513', '170', '657', '272', '483', '318', '474', '530']
581['408', '169', '511', '318', '480', '178', '189', '603', '64', '83']
592['474', '190', '856', '520', '923', '511', '513', '647', '199', '661']
580['318', '169', '272', '408', '174', '483', '178', '479', '172', '511']
590['89', '483', '114', '64', '318', '603', '98', '641', '50', '408']
593['64', '1039', '176', '408', '22', '251', '963', '513', '169', '127']
583['408', '178', '169', '479', '64', '316', '50', '474', '641', '318']
596['169', '173', '64', '318', '483', '408', '515', '659', '178', '1007']
570['50', '12', '172', '408', '64', '174', '127', '285', '173', '427']
599['480', '483', '64', '12', '661', '516', '285', '169', '408', '520']
589['357', '515', '603', '318', '427', '194', '143', '114', '483', '169']
594['169', '318', '114', '528', '519', '179', '408', '603', '963', '657']
597['12', '475', '408', '357', '169', '168', '189', '114', '315', '178']
578['173', '318', '357', '192', '98', '83', '185', '603', '483', '657']
601['175', '199', '408', '511', '919', '42', '169', '603', '513', '251']
602['483', '169', '172', '513', '199', '511', '174', '64', '480', '178']
600['483', '513', '98', '519', '136', '302', '178', '180', '134', '169']
605['185', '511', '179', '482', '428', '199', '430', '657', '515', '648']
603['483', '285', '98', '318', '408', '83', '114', '223', '357', '694']
595['408', '169', '134', '357', '285', '276', '511', '89', '56', '474']
606['318', '408', '251', '272', '480', '57', '169', '520', '59', '694']
608['515', '923', '12', '114', '205', '203', '313', '659', '272', '302']
607['480', '408', '657', '12', '169', '64', '318', '114', '127', '189']
610['515', '168', '169', '603', '357', '64', '197', '408', '192', '178']
611['64', '318', '50', '79', '963', '114', '520', '408', '12', '483']
617['135', '603', '127', '512', '285', '64', '156', '659', '169', '408']
618['515', '205', '511', '603', '286', '480', '357', '194', '408', '520']
614['483', '408', '169', '515', '657', '124', '64', '178', '923', '474']
609['22', '174', '318', '50', '64', '511', '169', '199', '172', '181']
615['511', '515', '483', '408', '12', '64', '98', '603', '89', '50']
616['318', '64', '12', '98', '114', '178', '408', '511', '603', '479']
620['64', '12', '483', '22', '705', '114', '408', '487', '318', '178']
571['515', '474', '408', '12', '178', '127', '479', '478', '603', '483']
619['64', '202', '963', '186', '28', '178', '222', '12', '69', '265']
613['357', '408', '513', '169', '483', '657', '963', '114', '172', '515']
622['357', '318', '527', '483', '223', '302', '23', '317', '513', '186']
621['56', '357', '12', '408', '89', '169', '251', '178', '10', '511']
604['50', '483', '174', '408', '114', '302', '181', '172', '272', '313']
624['603', '408', '318', '357', '64', '56', '191', '479', '12', '483']
612['515', '169', '519', '318', '272', '498', '513', '963', '408', '251']
627['483', '515', '114', '603', '169', '246', '657', '647', '48', '480']
623['174', '313', '318', '478', '178', '408', '963', '64', '657', '515']
628['474', '1', '98', '193', '194', '603', '100', '423', '515', '427']
625['318', '64', '114', '12', '89', '272', '963', '199', '427', '474']
629['318', '313', '79', '483', '603', '178', '186', '114', '169', '408']
633['603', '64', '488', '169', '408', '496', '136', '313', '114', '178']
632['178', '408', '169', '272', '427', '481', '89', '1449', '170', '316']
631['127', '169', '56', '511', '408', '50', '483', '474', '12', '180']
634['318', '56', '169', '12', '357', '496', '114', '190', '479', '611']
639['318', '251', '272', '114', '515', '657', '1007', '921', '169', '64']
630['169', '408', '114', '487', '513', '1007', '524', '519', '589', '528']
642['316', '79', '614', '222', '531', '606', '274', '1019', '483', '251']
637['318', '194', '64', '313', '196', '176', '174', '487', '657', '963']
640['603', '427', '483', '408', '178', '520', '191', '187', '513', '114']
626['318', '98', '483', '357', '64', '127', '50', '515', '251', '178']
643['124', '134', '657', '641', '513', '480', '64', '427', '285', '923']
598['174', '50', '64', '12', '169', '408', '318', '98', '173', '172']
638['178', '12', '408', '313', '169', '114', '963', '64', '173', '79']
635['199', '408', '192', '318', '134', '64', '114', '251', '185', '124']
644['98', '194', '603', '515', '480', '174', '483', '408', '178', '64']
636['603', '196', '480', '408', '169', '173', '963', '174', '12', '114']
645['127', '178', '100', '137', '515', '408', '14', '269', '603', '285']
648['64', '1142', '300', '292', '480', '735', '258', '124', '132', '257']
647['318', '483', '64', '169', '50', '498', '172', '98', '657', '251']
650['169', '318', '408', '64', '83', '251', '114', '12', '178', '641']
651['318', '483', '134', '480', '408', '223', '199', '169', '178', '657']
654['272', '64', '194', '96', '190', '661', '603', '488', '657', '186']
653['169', '408', '12', '173', '512', '483', '178', '528', '31', '114']
655['408', '169', '641', '168', '1449', '633', '114', '659', '478', '493']
649['64', '318', '272', '12', '408', '114', '169', '190', '515', '191']
658['12', '64', '114', '313', '272', '191', '357', '520', '479', '657']
656['64', '483', '408', '178', '657', '50', '357', '172', '318', '199']
660['169', '511', '408', '427', '194', '170', '114', '963', '498', '524']
659['318', '12', '651', '190', '223', '114', '22', '251', '529', '896']
646['318', '251', '483', '513', '178', '603', '408', '191', '98', '169']
663['169', '408', '480', '515', '114', '251', '427', '657', '194', '478']
664['178', '59', '199', '474', '272', '530', '60', '647', '515', '9']
657['603', '427', '197', '318', '657', '515', '479', '165', '483', '114']
665['64', '169', '408', '114', '603', '199', '480', '659', '641', '474']
666['408', '178', '9', '512', '285', '488', '923', '14', '522', '268']
661['316', '511', '963', '483', '520', '484', '190', '661', '474', '519']
662['64', '12', '603', '408', '178', '318', '127', '114', '169', '479']
667['483', '480', '251', '515', '603', '178', '606', '64', '496', '83']
641['169', '603', '480', '136', '408', '498', '963', '114', '251', '520']
668['169', '408', '86', '45', '483', '513', '1019', '173', '64', '474']
673['169', '483', '194', '318', '515', '191', '50', '511', '408', '657']
671['316', '272', '963', '126', '169', '735', '736', '313', '318', '496']
669['199', '1142', '135', '315', '178', '1449', '185', '170', '530', '134']
676['427', '408', '511', '192', '12', '135', '487', '178', '603', '96']
674['169', '64', '603', '408', '483', '480', '515', '197', '178', '98']
652['169', '408', '483', '318', '272', '190', '513', '50', '64', '178']
677['169', '173', '659', '313', '56', '515', '12', '657', '208', '64']
682['169', '963', '316', '199', '114', '511', '484', '408', '661', '523']
679['127', '251', '98', '12', '114', '178', '603', '408', '657', '199']
684['12', '427', '496', '318', '963', '22', '286', '169', '313', '1449']
685['12', '64', '169', '114', '408', '603', '98', '178', '172', '173']
683['100', '135', '12', '64', '192', '114', '603', '483', '134', '661']
691['169', '12', '511', '408', '48', '172', '187', '127', '483', '427']
672['114', '657', '519', '12', '169', '251', '178', '603', '199', '408']
692['318', '169', '408', '64', '50', '272', '28', '520', '174', '313']
690['144', '22', '285', '117', '603', '182', '483', '251', '513', '318']
689['173', '408', '12', '64', '174', '172', '114', '169', '195', '178']
686['302', '483', '408', '199', '9', '169', '223', '251', '641', '657']
693['603', '136', '169', '316', '408', '496', '659', '126', '923', '100']
688['242', '346', '474', '265', '86', '257', '486', '144', '1', '95']
697['408', '56', '89', '64', '12', '192', '169', '174', '172', '173']
698['186', '408', '12', '64', '963', '79', '265', '117', '114', '189']
670['963', '497', '169', '313', '134', '520', '204', '488', '56', '478']
694['64', '408', '169', '251', '963', '114', '478', '487', '173', '272']
680['127', '357', '174', '172', '114', '12', '511', '89', '251', '64']
705['169', '272', '488', '481', '216', '966', '923', '1019', '513', '921']
701['318', '483', '169', '98', '657', '479', '603', '64', '511', '178']
699['408', '169', '114', '603', '512', '134', '513', '474', '48', '178']
704['408', '474', '427', '511', '923', '515', '651', '169', '242', '64']
707['408', '189', '514', '963', '513', '258', '169', '223', '475', '316']
700['483', '89', '408', '302', '657', '114', '172', '474', '64', '12']
687['64', '169', '98', '603', '199', '357', '318', '178', '480', '657']
695['483', '169', '114', '474', '127', '603', '64', '135', '511', '98']
675['408', '174', '114', '169', '285', '64', '96', '513', '483', '474']
708['64', '318', '174', '357', '98', '515', '511', '169', '427', '22']
709['169', '272', '408', '114', '480', '488', '520', '603', '316', '180']
711['14', '513', '657', '9', '515', '480', '511', '479', '863', '190']
710['511', '285', '178', '98', '169', '251', '480', '657', '519', '528']
712['272', '22', '169', '963', '282', '118', '64', '318', '480', '742']
715['169', '114', '408', '483', '520', '657', '199', '170', '272', '357']
713['408', '169', '427', '603', '114', '513', '64', '511', '285', '357']
716['313', '269', '170', '408', '923', '251', '963', '657', '272', '169']
681['318', '511', '357', '178', '64', '98', '603', '313', '515', '427']
678['408', '603', '64', '169', '190', '187', '513', '318', '114', '173']
719['22', '313', '480', '187', '496', '603', '169', '519', '178', '100']
702['64', '168', '408', '59', '50', '603', '169', '483', '114', '197']
721['496', '483', '89', '169', '98', '313', '272', '515', '963', '166']
714['87', '64', '272', '114', '12', '98', '265', '483', '172', '651']
717['408', '134', '318', '114', '516', '169', '275', '136', '657', '427']
718['313', '12', '318', '169', '408', '22', '659', '190', '174', '191']
696['357', '251', '127', '483', '318', '511', '50', '64', '169', '194']
722['12', '50', '174', '64', '114', '169', '127', '318', '178', '173']
724['172', '50', '181', '427', '174', '357', '64', '251', '479', '483']
727['64', '251', '190', '313', '48', '487', '657', '318', '480', '603']
725['603', '64', '408', '12', '318', '169', '185', '496', '659', '427']
706['64', '515', '633', '511', '963', '12', '98', '251', '127', '523']
720['603', '64', '114', '169', '427', '408', '318', '479', '285', '483']
729['12', '191', '178', '318', '169', '408', '659', '963', '483', '513']
726['318', '114', '511', '251', '408', '191', '169', '607', '64', '189']
728['318', '603', '64', '357', '408', '12', '313', '178', '114', '190']
703['174', '172', '64', '204', '963', '114', '169', '705', '520', '483']
738['272', '114', '963', '12', '316', '187', '483', '480', '657', '194']
736['318', '603', '98', '64', '169', '191', '513', '606', '480', '483']
734['178', '408', '963', '272', '511', '513', '651', '520', '484', '189']
730['187', '302', '56', '12', '408', '169', '427', '173', '318', '357']
743['127', '169', '483', '316', '606', '521', '187', '134', '12', '223']
742['64', '408', '12', '169', '98', '9', '603', '191', '272', '511']
737['408', '963', '114', '483', '315', '302', '603', '285', '513', '647']
733['191', '197', '513', '134', '318', '603', '483', '169', '135', '511']
745['318', '185', '474', '178', '408', '199', '180', '657', '484', '659']
740['318', '12', '272', '963', '511', '483', '22', '64', '9', '8']
735['169', '408', '64', '174', '511', '318', '272', '12', '483', '191']
747['191', '513', '515', '197', '657', '193', '114', '170', '611', '512']
723['64', '408', '12', '199', '657', '694', '313', '513', '48', '251']
739['963', '258', '735', '64', '408', '427', '169', '174', '736', '183']
749['318', '169', '427', '963', '651', '408', '12', '313', '479', '694']
748['12', '223', '963', '251', '513', '302', '190', '270', '98', '921']
746['408', '190', '169', '318', '313', '272', '963', '12', '114', '191']
731['22', '318', '423', '199', '313', '272', '87', '302', '408', '692']
750['169', '408', '64', '272', '479', '12', '483', '511', '127', '316']
741['12', '318', '515', '127', '14', '513', '272', '527', '408', '169']
751['191', '478', '199', '408', '963', '429', '705', '357', '195', '657']
756['515', '487', '114', '64', '318', '83', '480', '513', '484', '641']
757['408', '483', '12', '513', '963', '169', '170', '191', '59', '285']
752['408', '513', '526', '195', '189', '483', '251', '50', '83', '173']
758['408', '357', '511', '178', '251', '318', '246', '114', '268', '205']
732['318', '603', '515', '313', '496', '64', '272', '408', '178', '963']
762['474', '408', '179', '169', '135', '272', '12', '114', '127', '134']
744['515', '64', '408', '114', '513', '484', '318', '12', '648', '272']
754['100', '513', '191', '50', '408', '603', '318', '357', '64', '178']
753['143', '479', '603', '318', '511', '170', '178', '487', '169', '197']
763['134', '251', '178', '661', '169', '114', '606', '23', '320', '285']
764['483', '408', '169', '515', '178', '194', '480', '427', '272', '511']
767['169', '603', '318', '408', '515', '480', '427', '114', '511', '64']
769['318', '50', '174', '408', '169', '178', '98', '483', '89', '496']
755['496', '64', '190', '12', '59', '513', '408', '318', '174', '603']
771['483', '515', '89', '269', '272', '480', '488', '12', '318', '512']
768['64', '408', '603', '318', '98', '480', '251', '169', '174', '302']
773['474', '9', '647', '285', '276', '316', '178', '199', '134', '511']
765['483', '178', '408', '603', '515', '318', '511', '963', '134', '98']
772['474', '408', '178', '318', '64', '169', '12', '114', '603', '185']
766['408', '169', '515', '427', '479', '316', '513', '251', '285', '56']
774['134', '480', '474', '1142', '315', '251', '114', '302', '57', '657']
760['64', '427', '169', '515', '963', '187', '408', '12', '483', '272']
761['216', '169', '64', '515', '483', '168', '121', '174', '69', '408']
777['169', '408', '705', '963', '694', '657', '136', '198', '251', '114']
759['174', '12', '64', '318', '313', '496', '172', '1007', '169', '251']
776['64', '169', '173', '408', '12', '223', '513', '528', '172', '48']
780['181', '272', '963', '483', '64', '169', '408', '190', '178', '191']
779['408', '64', '318', '12', '169', '22', '483', '963', '316', '603']
778['185', '127', '169', '408', '172', '50', '318', '313', '178', '89']
782['169', '12', '318', '22', '174', '64', '56', '496', '96', '357']
786['64', '12', '170', '22', '408', '427', '169', '251', '483', '480']
784['318', '603', '12', '427', '483', '98', '496', '89', '657', '515']
770['603', '515', '512', '480', '479', '272', '483', '408', '178', '318']
788['313', '169', '515', '178', '513', '496', '603', '923', '190', '479']
789['12', '190', '136', '285', '603', '83', '474', '98', '657', '223']
790['169', '114', '12', '64', '318', '408', '272', '484', '48', '663']
787['318', '174', '173', '963', '64', '50', '483', '408', '511', '520']
783['408', '64', '169', '114', '318', '483', '195', '189', '178', '12']
785['515', '169', '603', '483', '64', '408', '114', '513', '479', '98']
794['483', '64', '357', '513', '251', '603', '12', '178', '479', '963']
781['114', '657', '173', '12', '178', '408', '183', '480', '209', '137']
796['963', '148', '169', '408', '114', '966', '651', '1169', '59', '1194']
795['134', '480', '408', '654', '603', '9', '114', '657', '272', '185']
793['98', '318', '515', '603', '199', '357', '64', '408', '12', '169']
798['169', '1019', '385', '316', '12', '963', '1449', '114', '96', '408']
791['172', '169', '79', '173', '434', '190', '174', '12', '83', '963']
802['318', '12', '357', '23', '136', '513', '603', '190', '69', '496']
800['114', '318', '12', '64', '169', '963', '483', '408', '98', '657']
804['313', '408', '178', '963', '114', '59', '659', '661', '57', '1194']
803['318', '408', '483', '511', '50', '12', '357', '127', '169', '515']
775['64', '318', '483', '12', '190', '114', '169', '657', '603', '357']
792['12', '64', '98', '50', '205', '178', '190', '114', '169', '272']
799['408', '483', '169', '603', '168', '64', '114', '285', '318', '199']
805['474', '656', '48', '192', '285', '57', '493', '129', '114', '511']
806['114', '199', '64', '191', '173', '480', '515', '198', '479', '427']
807['272', '275', '606', '169', '963', '479', '178', '251', '64', '134']
797['603', '12', '172', '511', '408', '357', '89', '185', '191', '23']
801['98', '515', '427', '272', '408', '318', '64', '357', '169', '12']
809['408', '318', '169', '191', '64', '143', '515', '427', '966', '98']
815['22', '963', '513', '169', '923', '272', '15', '269', '511', '480']
817['64', '408', '169', '12', '483', '272', '127', '50', '199', '166']
821['515', '172', '178', '187', '511', '963', '136', '651', '50', '251']
818['64', '483', '318', '56', '357', '98', '114', '169', '427', '408']
814['169', '408', '483', '178', '50', '513', '318', '515', '474', '114']
812['50', '64', '169', '478', '483', '12', '659', '603', '531', '132']
823['169', '603', '285', '178', '483', '302', '527', '9', '479', '498']
825['318', '64', '69', '313', '300', '96', '22', '79', '328', '169']
827['318', '513', '357', '483', '114', '12', '172', '408', '511', '285']
829['56', '64', '483', '169', '285', '127', '603', '657', '251', '513']
811['603', '515', '174', '272', '172', '483', '408', '178', '318', '64']
830['64', '178', '318', '483', '272', '408', '479', '199', '423', '191']
826['483', '408', '169', '64', '478', '173', '196', '963', '12', '657']
831['318', '191', '511', '357', '98', '483', '427', '178', '408', '172']
819['480', '272', '318', '482', '313', '483', '223', '169', '408', '197']
828['187', '56', '12', '408', '357', '519', '114', '427', '511', '98']
808['98', '603', '480', '272', '483', '408', '127', '318', '64', '357']
835['178', '657', '199', '100', '64', '169', '513', '483', '493', '48']
833['169', '408', '480', '285', '513', '693', '189', '530', '528', '9']
836['50', '98', '427', '172', '313', '480', '64', '483', '408', '132']
816['483', '408', '64', '12', '285', '114', '430', '169', '516', '603']
838['483', '963', '513', '498', '427', '603', '178', '657', '89', '511']
839['408', '169', '272', '479', '963', '12', '483', '709', '89', '64']
840['178', '318', '408', '923', '813', '320', '114', '316', '633', '12']
832['169', '318', '114', '408', '64', '195', '173', '488', '603', '89']
810['302', '86', '98', '194', '603', '515', '427', '512', '480', '275']
844['408', '169', '64', '483', '427', '603', '170', '515', '357', '114']
843['169', '513', '114', '12', '60', '178', '134', '59', '320', '1137']
834['318', '114', '483', '169', '408', '963', '480', '174', '427', '64']
846['408', '272', '475', '169', '114', '144', '285', '156', '315', '251']
837['174', '613', '318', '194', '408', '603', '641', '1019', '169', '474']
813['96', '64', '174', '318', '169', '483', '474', '11', '408', '313']
842['285', '408', '482', '483', '127', '251', '192', '134', '480', '23']
847['318', '22', '408', '651', '69', '963', '64', '511', '19', '513']
848['657', '482', '313', '87', '302', '272', '64', '143', '963', '487']
822['318', '178', '48', '174', '50', '12', '427', '963', '603', '480']
852['483', '173', '313', '114', '169', '603', '318', '64', '963', '208']
851['408', '169', '114', '134', '357', '89', '187', '474', '316', '478']
849['242', '302', '265', '486', '1', '98', '194', '603', '1137', '181']
854['474', '114', '408', '169', '427', '179', '480', '182', '661', '515']
850['64', '133', '169', '114', '963', '178', '483', '408', '313', '143']
858['318', '408', '64', '603', '178', '12', '205', '520', '57', '59']
853['64', '603', '169', '114', '190', '408', '513', '197', '923', '23']
855['64', '114', '134', '483', '127', '474', '480', '272', '169', '520']
824['427', '480', '12', '483', '169', '603', '357', '50', '185', '178']
845['318', '178', '64', '408', '170', '651', '513', '12', '515', '22']
841['408', '318', '169', '133', '170', '963', '114', '515', '427', '357']
859['408', '178', '318', '64', '169', '513', '607', '483', '223', '320']
862['1137', '408', '178', '189', '169', '589', '87', '488', '114', '1019']
856['127', '408', '318', '114', '98', '64', '169', '515', '192', '657']
820['483', '50', '318', '127', '963', '408', '423', '427', '64', '511']
863['11', '56', '169', '172', '87', '50', '494', '176', '963', '251']
860['187', '98', '483', '357', '64', '127', '513', '79', '318', '186']
857['89', '483', '408', '641', '474', '50', '318', '498', '357', '251']
864['272', '316', '313', '285', '89', '515', '498', '527', '513', '198']
865['318', '513', '474', '178', '12', '179', '114', '484', '647', '272']
868['171', '357', '511', '483', '134', '246', '175', '647', '137', '124']
867['178', '513', '199', '114', '192', '357', '1019', '408', '169', '1449']
861['408', '174', '496', '483', '694', '50', '194', '511', '169', '143']
870['408', '190', '114', '285', '493', '661', '611', '144', '199', '320']
871['64', '12', '114', '144', '100', '251', '169', '489', '483', '89']
